strike,expiration,bid,ask,expiration_type,option_type,mid
800,2/21/2020,1160.9,1164.4,standard,CALL,1162.65
900,2/21/2020,1060.9,1064.5,standard,CALL,1062.7
1000,2/21/2020,961,964.5,standard,CALL,962.75
1050,2/21/2020,911,914.5,standard,CALL,912.75
1100,2/21/2020,861,864.6,standard,CALL,862.8
1125,2/21/2020,836,839.6,standard,CALL,837.8
1150,2/21/2020,811,814.6,standard,CALL,812.8
1175,2/21/2020,786.1,789.6,standard,CALL,787.85
1200,2/21/2020,761.1,764.6,standard,CALL,762.85
1220,2/21/2020,741.1,744.6,standard,CALL,742.85
1225,2/21/2020,736.1,739.6,standard,CALL,737.85
1240,2/21/2020,721.1,724.6,standard,CALL,722.85
1250,2/21/2020,711.1,714.6,standard,CALL,712.85
1260,2/21/2020,701.1,704.6,standard,CALL,702.85
1270,2/21/2020,691.1,694.6,standard,CALL,692.85
1275,2/21/2020,686.1,689.6,standard,CALL,687.85
1280,2/21/2020,681.1,684.6,standard,CALL,682.85
1290,2/21/2020,671.1,674.7,standard,CALL,672.9
1300,2/21/2020,661.1,664.7,standard,CALL,662.9
1305,2/21/2020,656.1,659.7,standard,CALL,657.9
1310,2/21/2020,651.1,654.7,standard,CALL,652.9
1315,2/21/2020,646.1,649.7,standard,CALL,647.9
1320,2/21/2020,641.2,644.7,standard,CALL,642.95
1325,2/21/2020,636.2,639.7,standard,CALL,637.95
1330,2/21/2020,631.2,634.7,standard,CALL,632.95
1335,2/21/2020,626.2,629.7,standard,CALL,627.95
1340,2/21/2020,621.2,624.7,standard,CALL,622.95
1345,2/21/2020,616.2,619.7,standard,CALL,617.95
1350,2/21/2020,611.2,614.7,standard,CALL,612.95
1355,2/21/2020,606.2,609.7,standard,CALL,607.95
1360,2/21/2020,601.2,604.7,standard,CALL,602.95
1365,2/21/2020,596.2,599.7,standard,CALL,597.95
1370,2/21/2020,591.2,594.7,standard,CALL,592.95
1375,2/21/2020,586.2,589.7,standard,CALL,587.95
1380,2/21/2020,581.2,584.7,standard,CALL,582.95
1385,2/21/2020,576.2,579.7,standard,CALL,577.95
1390,2/21/2020,571.2,574.7,standard,CALL,572.95
1395,2/21/2020,566.2,569.7,standard,CALL,567.95
1400,2/21/2020,561.2,564.8,standard,CALL,563
1405,2/21/2020,556.2,559.8,standard,CALL,558
1410,2/21/2020,551.2,554.8,standard,CALL,553
1415,2/21/2020,546.2,549.8,standard,CALL,548
1420,2/21/2020,541.2,544.8,standard,CALL,543
1425,2/21/2020,536.3,539.8,standard,CALL,538.05
1430,2/21/2020,531.3,534.8,standard,CALL,533.05
1435,2/21/2020,526.3,529.8,standard,CALL,528.05
1440,2/21/2020,521.3,524.8,standard,CALL,523.05
1445,2/21/2020,516.3,519.8,standard,CALL,518.05
1450,2/21/2020,511.3,514.8,standard,CALL,513.05
1455,2/21/2020,506.3,509.8,standard,CALL,508.05
1460,2/21/2020,501.3,504.8,standard,CALL,503.05
1465,2/21/2020,496.3,499.8,standard,CALL,498.05
1470,2/21/2020,491.3,494.8,standard,CALL,493.05
1475,2/21/2020,486.3,489.9,standard,CALL,488.1
1480,2/21/2020,481.3,484.9,standard,CALL,483.1
1485,2/21/2020,476.3,479.9,standard,CALL,478.1
1490,2/21/2020,471.3,474.9,standard,CALL,473.1
1495,2/21/2020,466.4,469.9,standard,CALL,468.15
1500,2/21/2020,461.4,464.9,standard,CALL,463.15
1505,2/21/2020,456.4,459.9,standard,CALL,458.15
1510,2/21/2020,451.4,454.9,standard,CALL,453.15
1515,2/21/2020,446.4,449.9,standard,CALL,448.15
1520,2/21/2020,441.4,445,standard,CALL,443.2
1525,2/21/2020,436.4,440,standard,CALL,438.2
1530,2/21/2020,431.4,435,standard,CALL,433.2
1535,2/21/2020,426.4,430,standard,CALL,428.2
1540,2/21/2020,421.4,425,standard,CALL,423.2
1545,2/21/2020,416.5,420,standard,CALL,418.25
1550,2/21/2020,411.5,415,standard,CALL,413.25
1555,2/21/2020,406.5,410.1,standard,CALL,408.3
1560,2/21/2020,401.5,405.1,standard,CALL,403.3
1565,2/21/2020,396.5,400.1,standard,CALL,398.3
1570,2/21/2020,391.5,395.1,standard,CALL,393.3
1575,2/21/2020,386.5,390.1,standard,CALL,388.3
1580,2/21/2020,381.5,385.1,standard,CALL,383.3
1585,2/21/2020,376.6,380.2,standard,CALL,378.4
1590,2/21/2020,371.6,375.2,standard,CALL,373.4
1595,2/21/2020,366.6,370.2,standard,CALL,368.4
1600,2/21/2020,361.6,365.2,standard,CALL,363.4
1605,2/21/2020,356.6,360.3,standard,CALL,358.45
1610,2/21/2020,351.6,355.3,standard,CALL,353.45
1615,2/21/2020,346.7,350.3,standard,CALL,348.5
1620,2/21/2020,341.7,345.3,standard,CALL,343.5
1625,2/21/2020,336.7,340.4,standard,CALL,338.55
1630,2/21/2020,331.7,335.4,standard,CALL,333.55
1635,2/21/2020,326.7,330.4,standard,CALL,328.55
1640,2/21/2020,321.8,325.4,standard,CALL,323.6
1645,2/21/2020,316.8,320.5,standard,CALL,318.65
1650,2/21/2020,311.8,315.5,standard,CALL,313.65
1655,2/21/2020,306.8,310.5,standard,CALL,308.65
1660,2/21/2020,301.9,305.6,standard,CALL,303.75
1665,2/21/2020,296.9,300.6,standard,CALL,298.75
1670,2/21/2020,291.9,295.7,standard,CALL,293.8
1675,2/21/2020,287,290.7,standard,CALL,288.85
1680,2/21/2020,282,285.7,standard,CALL,283.85
1685,2/21/2020,277,280.8,standard,CALL,278.9
1690,2/21/2020,272.1,275.8,standard,CALL,273.95
1695,2/21/2020,267.1,270.9,standard,CALL,269
1700,2/21/2020,262.1,265.9,standard,CALL,264
1705,2/21/2020,257.2,261,standard,CALL,259.1
1710,2/21/2020,252.2,256,standard,CALL,254.1
1715,2/21/2020,247.3,251.1,standard,CALL,249.2
1720,2/21/2020,242.3,246.1,standard,CALL,244.2
1725,2/21/2020,237.4,241.2,standard,CALL,239.3
1730,2/21/2020,232.4,236.3,standard,CALL,234.35
1735,2/21/2020,227.5,231.3,standard,CALL,229.4
1740,2/21/2020,222.5,226.4,standard,CALL,224.45
1745,2/21/2020,217.6,221.5,standard,CALL,219.55
1750,2/21/2020,212.6,216.6,standard,CALL,214.6
1755,2/21/2020,207.7,211.6,standard,CALL,209.65
1760,2/21/2020,202.8,206.7,standard,CALL,204.75
1765,2/21/2020,197.8,201.8,standard,CALL,199.8
1770,2/21/2020,192.9,196.9,standard,CALL,194.9
1775,2/21/2020,188,192,standard,CALL,190
1780,2/21/2020,183.1,187.1,standard,CALL,185.1
1785,2/21/2020,178.2,182.2,standard,CALL,180.2
1790,2/21/2020,173.3,177.3,standard,CALL,175.3
1795,2/21/2020,168.4,172.4,standard,CALL,170.4
1800,2/21/2020,163.5,167.5,standard,CALL,165.5
1805,2/21/2020,158.6,162.6,standard,CALL,160.6
1810,2/21/2020,153.8,157.8,standard,CALL,155.8
1815,2/21/2020,148.9,152.9,standard,CALL,150.9
1820,2/21/2020,144.1,148.1,standard,CALL,146.1
1825,2/21/2020,139.2,143.3,standard,CALL,141.25
1830,2/21/2020,134.4,138.4,standard,CALL,136.4
1835,2/21/2020,129.6,133.6,standard,CALL,131.6
1840,2/21/2020,124.8,128.8,standard,CALL,126.8
1845,2/21/2020,120.1,124.1,standard,CALL,122.1
1850,2/21/2020,115.4,119.3,standard,CALL,117.35
1855,2/21/2020,110.6,114.6,standard,CALL,112.6
1860,2/21/2020,105.9,109.9,standard,CALL,107.9
1865,2/21/2020,101.3,105.2,standard,CALL,103.25
1870,2/21/2020,96.6,100.5,standard,CALL,98.55
1875,2/21/2020,92,95.9,standard,CALL,93.95
1880,2/21/2020,87.4,91.3,standard,CALL,89.35
1885,2/21/2020,82.9,86.7,standard,CALL,84.8
1890,2/21/2020,78.4,82.2,standard,CALL,80.3
1895,2/21/2020,74,77.7,standard,CALL,75.85
1900,2/21/2020,69.6,73.2,standard,CALL,71.4
1905,2/21/2020,66,68.5,standard,CALL,67.25
1910,2/21/2020,61.6,64.1,standard,CALL,62.85
1915,2/21/2020,57.4,59.8,standard,CALL,58.6
1920,2/21/2020,53.3,55.6,standard,CALL,54.45
1925,2/21/2020,49.1,51.2,standard,CALL,50.15
1930,2/21/2020,45.2,47.3,standard,CALL,46.25
1935,2/21/2020,41.2,43.4,standard,CALL,42.3
1940,2/21/2020,37.4,39.5,standard,CALL,38.45
1945,2/21/2020,33.7,35.7,standard,CALL,34.7
1950,2/21/2020,30.1,32.1,standard,CALL,31.1
1955,2/21/2020,26.7,28.5,standard,CALL,27.6
1960,2/21/2020,23.4,25.1,standard,CALL,24.25
1965,2/21/2020,20.3,21.8,standard,CALL,21.05
1970,2/21/2020,17.4,18.8,standard,CALL,18.1
1975,2/21/2020,14.6,15.9,standard,CALL,15.25
1980,2/21/2020,12.2,13.3,standard,CALL,12.75
1985,2/21/2020,9.9,11,standard,CALL,10.45
1990,2/21/2020,7.9,9,standard,CALL,8.45
1995,2/21/2020,6.2,7.1,standard,CALL,6.65
2000,2/21/2020,4.7,5.2,standard,CALL,4.95
2005,2/21/2020,3.4,4.2,standard,CALL,3.8
2010,2/21/2020,2.65,3.1,standard,CALL,2.875
2015,2/21/2020,1.75,2.3,standard,CALL,2.025
2020,2/21/2020,1.2,1.7,standard,CALL,1.45
2025,2/21/2020,1,1.25,standard,CALL,1.125
2030,2/21/2020,0.45,1,standard,CALL,0.725
2035,2/21/2020,0.25,0.8,standard,CALL,0.525
2040,2/21/2020,0.35,0.65,standard,CALL,0.5
2045,2/21/2020,0.2,0.6,standard,CALL,0.4
2050,2/21/2020,0.2,0.3,standard,CALL,0.25
2055,2/21/2020,0.15,0.5,standard,CALL,0.325
2060,2/21/2020,0.15,0.3,standard,CALL,0.225
2065,2/21/2020,0.15,0.2,standard,CALL,0.175
2070,2/21/2020,0.1,0.2,standard,CALL,0.15
2075,2/21/2020,0.1,0.2,standard,CALL,0.15
2080,2/21/2020,0.05,0.45,standard,CALL,0.25
2085,2/21/2020,0.05,0.4,standard,CALL,0.225
2090,2/21/2020,0.05,0.15,standard,CALL,0.1
2095,2/21/2020,0.05,0.35,standard,CALL,0.2
2100,2/21/2020,0.05,0.15,standard,CALL,0.1
2120,2/21/2020,0,0.15,standard,CALL,0.075
2125,2/21/2020,0.05,0.15,standard,CALL,0.1
2150,2/21/2020,0,0.1,standard,CALL,0.05
2175,2/21/2020,0,0.05,standard,CALL,0.025
2200,2/21/2020,0,0.05,standard,CALL,0.025
2225,2/21/2020,0.05,0.1,standard,CALL,0.075
2250,2/21/2020,0,0.05,standard,CALL,0.025
1225,2/28/2020,735.9,738.8,weekly,CALL,737.35
1250,2/28/2020,710.8,713.8,weekly,CALL,712.3
1275,2/28/2020,686,688.7,weekly,CALL,687.35
1300,2/28/2020,660.9,663.8,weekly,CALL,662.35
1325,2/28/2020,635.9,638.6,weekly,CALL,637.25
1350,2/28/2020,610.9,613.6,weekly,CALL,612.25
1375,2/28/2020,585.9,588.7,weekly,CALL,587.3
1400,2/28/2020,561,563.7,weekly,CALL,562.35
1425,2/28/2020,536,538.8,weekly,CALL,537.4
1450,2/28/2020,511.1,513.8,weekly,CALL,512.45
1475,2/28/2020,486.1,488.9,weekly,CALL,487.5
1500,2/28/2020,461.2,464,weekly,CALL,462.6
1510,2/28/2020,451.3,454,weekly,CALL,452.65
1520,2/28/2020,441.3,444,weekly,CALL,442.65
1525,2/28/2020,436.3,439.1,weekly,CALL,437.7
1530,2/28/2020,431.3,434.1,weekly,CALL,432.7
1540,2/28/2020,421.4,424.1,weekly,CALL,422.75
1550,2/28/2020,411.4,414.2,weekly,CALL,412.8
1555,2/28/2020,406.4,409.2,weekly,CALL,407.8
1560,2/28/2020,401.4,404.2,weekly,CALL,402.8
1565,2/28/2020,396.5,399.2,weekly,CALL,397.85
1570,2/28/2020,391.2,394,weekly,CALL,392.6
1575,2/28/2020,386.5,389.3,weekly,CALL,387.9
1580,2/28/2020,381.5,384.3,weekly,CALL,382.9
1585,2/28/2020,376.6,379.3,weekly,CALL,377.95
1590,2/28/2020,371.3,374.1,weekly,CALL,372.7
1595,2/28/2020,366.6,369.4,weekly,CALL,368
1600,2/28/2020,361.6,364.4,weekly,CALL,363
1605,2/28/2020,356.7,359.4,weekly,CALL,358.05
1610,2/28/2020,351.7,354.5,weekly,CALL,353.1
1615,2/28/2020,346.7,349.5,weekly,CALL,348.1
1620,2/28/2020,341.8,344.5,weekly,CALL,343.15
1625,2/28/2020,336.8,339.5,weekly,CALL,338.15
1630,2/28/2020,331.8,334.6,weekly,CALL,333.2
1635,2/28/2020,326.9,329.6,weekly,CALL,328.25
1640,2/28/2020,321.9,324.7,weekly,CALL,323.3
1645,2/28/2020,316.9,319.7,weekly,CALL,318.3
1650,2/28/2020,312,314.7,weekly,CALL,313.35
1655,2/28/2020,307,309.8,weekly,CALL,308.4
1660,2/28/2020,302.1,304.8,weekly,CALL,303.45
1665,2/28/2020,297.1,299.9,weekly,CALL,298.5
1670,2/28/2020,292.2,294.9,weekly,CALL,293.55
1675,2/28/2020,287.2,289.9,weekly,CALL,288.55
1680,2/28/2020,282.3,285,weekly,CALL,283.65
1685,2/28/2020,277.3,280.1,weekly,CALL,278.7
1690,2/28/2020,272.4,275.1,weekly,CALL,273.75
1695,2/28/2020,267.4,270.2,weekly,CALL,268.8
1700,2/28/2020,262.5,265.2,weekly,CALL,263.85
1705,2/28/2020,257.5,260.3,weekly,CALL,258.9
1710,2/28/2020,252.6,255.3,weekly,CALL,253.95
1715,2/28/2020,247.7,250.4,weekly,CALL,249.05
1720,2/28/2020,242.7,245.5,weekly,CALL,244.1
1725,2/28/2020,237.8,240.6,weekly,CALL,239.2
1730,2/28/2020,232.9,235.6,weekly,CALL,234.25
1735,2/28/2020,228,230.7,weekly,CALL,229.35
1740,2/28/2020,223.4,225.3,weekly,CALL,224.35
1745,2/28/2020,218.5,220.4,weekly,CALL,219.45
1750,2/28/2020,213.6,215.5,weekly,CALL,214.55
1755,2/28/2020,208.7,210.6,weekly,CALL,209.65
1760,2/28/2020,203.8,205.7,weekly,CALL,204.75
1765,2/28/2020,198.9,200.8,weekly,CALL,199.85
1770,2/28/2020,194,195.9,weekly,CALL,194.95
1775,2/28/2020,189.2,191.1,weekly,CALL,190.15
1780,2/28/2020,184.3,185.8,weekly,CALL,185.05
1785,2/28/2020,179.4,180.9,weekly,CALL,180.15
1790,2/28/2020,174.6,176.1,weekly,CALL,175.35
1795,2/28/2020,169.7,171.2,weekly,CALL,170.45
1800,2/28/2020,164.9,166.4,weekly,CALL,165.65
1805,2/28/2020,160.1,161.6,weekly,CALL,160.85
1810,2/28/2020,155.3,156.7,weekly,CALL,156
1815,2/28/2020,150.5,152,weekly,CALL,151.25
1820,2/28/2020,145.7,147.2,weekly,CALL,146.45
1825,2/28/2020,140.9,142.4,weekly,CALL,141.65
1830,2/28/2020,136.2,137.7,weekly,CALL,136.95
1835,2/28/2020,131.5,132.9,weekly,CALL,132.2
1840,2/28/2020,126.8,128.2,weekly,CALL,127.5
1845,2/28/2020,122.1,123.5,weekly,CALL,122.8
1850,2/28/2020,117.4,118.8,weekly,CALL,118.1
1855,2/28/2020,112.8,114.2,weekly,CALL,113.5
1860,2/28/2020,108.2,109.6,weekly,CALL,108.9
1865,2/28/2020,103.6,105,weekly,CALL,104.3
1870,2/28/2020,99,100.4,weekly,CALL,99.7
1875,2/28/2020,94.5,95.9,weekly,CALL,95.2
1880,2/28/2020,90,91.4,weekly,CALL,90.7
1885,2/28/2020,85.5,86.9,weekly,CALL,86.2
1890,2/28/2020,81.1,82.5,weekly,CALL,81.8
1895,2/28/2020,76.8,78.1,weekly,CALL,77.45
1900,2/28/2020,72.4,73.7,weekly,CALL,73.05
1905,2/28/2020,68.2,69.4,weekly,CALL,68.8
1910,2/28/2020,64,65.2,weekly,CALL,64.6
1915,2/28/2020,59.8,61.1,weekly,CALL,60.45
1920,2/28/2020,55.7,57,weekly,CALL,56.35
1925,2/28/2020,51.7,53,weekly,CALL,52.35
1930,2/28/2020,47.8,49.1,weekly,CALL,48.45
1935,2/28/2020,44.6,45.1,weekly,CALL,44.85
1940,2/28/2020,40.8,41.3,weekly,CALL,41.05
1945,2/28/2020,37.2,37.7,weekly,CALL,37.45
1950,2/28/2020,33.7,34.4,weekly,CALL,34.05
1955,2/28/2020,30.3,30.9,weekly,CALL,30.6
1960,2/28/2020,27,27.6,weekly,CALL,27.3
1965,2/28/2020,23.8,24.5,weekly,CALL,24.15
1970,2/28/2020,20.8,21.4,weekly,CALL,21.1
1975,2/28/2020,18,18.6,weekly,CALL,18.3
1980,2/28/2020,15.5,15.9,weekly,CALL,15.7
1985,2/28/2020,13.1,13.5,weekly,CALL,13.3
1990,2/28/2020,10.9,11.3,weekly,CALL,11.1
1995,2/28/2020,9,9.3,weekly,CALL,9.15
2000,2/28/2020,7.2,7.6,weekly,CALL,7.4
2005,2/28/2020,5.7,6,weekly,CALL,5.85
2010,2/28/2020,4.5,4.8,weekly,CALL,4.65
2015,2/28/2020,3.4,3.7,weekly,CALL,3.55
2020,2/28/2020,2.6,2.8,weekly,CALL,2.7
