strike,expiration,bid,ask,expiration_type,option_type,mid
2025,2/28/2020,1.95,2.15,weekly,CALL,2.05
2030,2/28/2020,1.45,1.65,weekly,CALL,1.55
2035,2/28/2020,1.05,1.25,weekly,CALL,1.15
2040,2/28/2020,0.8,0.95,weekly,CALL,0.875
2045,2/28/2020,0.6,0.75,weekly,CALL,0.675
2050,2/28/2020,0.5,0.65,weekly,CALL,0.575
2060,2/28/2020,0.3,0.4,weekly,CALL,0.35
2070,2/28/2020,0.2,0.3,weekly,CALL,0.25
2075,2/28/2020,0.15,0.25,weekly,CALL,0.2
2100,2/28/2020,0.1,0.2,weekly,CALL,0.15
2125,2/28/2020,0.05,0.15,weekly,CALL,0.1
2150,2/28/2020,0.05,0.15,weekly,CALL,0.1
2175,2/28/2020,0,0.1,weekly,CALL,0.05
2200,2/28/2020,0.05,0.1,weekly,CALL,0.075
2225,2/28/2020,0,0.1,weekly,CALL,0.05
2250,2/28/2020,0,0.1,weekly,CALL,0.05
800,2/21/2020,0,0.1,standard,PUT,0.05
900,2/21/2020,0,0.1,standard,PUT,0.05
1000,2/21/2020,0,0.1,standard,PUT,0.05
1050,2/21/2020,0,0.1,standard,PUT,0.05
1100,2/21/2020,0,0.05,standard,PUT,0.025
1125,2/21/2020,0,0.05,standard,PUT,0.025
1150,2/21/2020,0,0.05,standard,PUT,0.025
1175,2/21/2020,0,0.05,standard,PUT,0.025
1200,2/21/2020,0,0.05,standard,PUT,0.025
1220,2/21/2020,0,0.1,standard,PUT,0.05
1225,2/21/2020,0,0.05,standard,PUT,0.025
1240,2/21/2020,0,0.1,standard,PUT,0.05
1250,2/21/2020,0,0.05,standard,PUT,0.025
1260,2/21/2020,0,0.1,standard,PUT,0.05
1270,2/21/2020,0,0.1,standard,PUT,0.05
1275,2/21/2020,0,0.1,standard,PUT,0.05
1280,2/21/2020,0,0.1,standard,PUT,0.05
1290,2/21/2020,0,0.1,standard,PUT,0.05
1300,2/21/2020,0.05,0.1,standard,PUT,0.075
1305,2/21/2020,0,0.1,standard,PUT,0.05
1310,2/21/2020,0,0.1,standard,PUT,0.05
1315,2/21/2020,0,0.1,standard,PUT,0.05
1320,2/21/2020,0,0.1,standard,PUT,0.05
1325,2/21/2020,0.05,0.1,standard,PUT,0.075
1330,2/21/2020,0,0.1,standard,PUT,0.05
1335,2/21/2020,0,0.15,standard,PUT,0.075
1340,2/21/2020,0,0.15,standard,PUT,0.075
1345,2/21/2020,0,0.15,standard,PUT,0.075
1350,2/21/2020,0.05,0.15,standard,PUT,0.1
1355,2/21/2020,0.05,0.35,standard,PUT,0.2
1360,2/21/2020,0,0.35,standard,PUT,0.175
1365,2/21/2020,0,0.35,standard,PUT,0.175
1370,2/21/2020,0.05,0.35,standard,PUT,0.2
1375,2/21/2020,0.1,0.15,standard,PUT,0.125
1380,2/21/2020,0.1,0.2,standard,PUT,0.15
1385,2/21/2020,0.1,0.35,standard,PUT,0.225
1390,2/21/2020,0.1,0.35,standard,PUT,0.225
1395,2/21/2020,0.1,0.15,standard,PUT,0.125
1400,2/21/2020,0.1,0.15,standard,PUT,0.125
1405,2/21/2020,0,0.35,standard,PUT,0.175
1410,2/21/2020,0.05,0.4,standard,PUT,0.225
1415,2/21/2020,0,0.4,standard,PUT,0.2
1420,2/21/2020,0.05,0.4,standard,PUT,0.225
1425,2/21/2020,0.15,0.2,standard,PUT,0.175
1430,2/21/2020,0.05,0.4,standard,PUT,0.225
1435,2/21/2020,0.15,0.4,standard,PUT,0.275
1440,2/21/2020,0.05,0.3,standard,PUT,0.175
1445,2/21/2020,0.05,0.4,standard,PUT,0.225
1450,2/21/2020,0.15,0.25,standard,PUT,0.2
1455,2/21/2020,0.05,0.45,standard,PUT,0.25
1460,2/21/2020,0.05,0.45,standard,PUT,0.25
1465,2/21/2020,0.05,0.45,standard,PUT,0.25
1470,2/21/2020,0.05,0.45,standard,PUT,0.25
1475,2/21/2020,0.15,0.25,standard,PUT,0.2
1480,2/21/2020,0.05,0.45,standard,PUT,0.25
1485,2/21/2020,0.2,0.5,standard,PUT,0.35
1490,2/21/2020,0.05,0.3,standard,PUT,0.175
1495,2/21/2020,0.05,0.5,standard,PUT,0.275
1500,2/21/2020,0.25,0.4,standard,PUT,0.325
1505,2/21/2020,0.3,0.35,standard,PUT,0.325
1510,2/21/2020,0.05,0.55,standard,PUT,0.3
1515,2/21/2020,0.05,0.55,standard,PUT,0.3
1520,2/21/2020,0.1,0.6,standard,PUT,0.35
1525,2/21/2020,0.3,0.4,standard,PUT,0.35
1530,2/21/2020,0.05,0.6,standard,PUT,0.325
1535,2/21/2020,0.1,0.65,standard,PUT,0.375
1540,2/21/2020,0.1,0.65,standard,PUT,0.375
1545,2/21/2020,0.1,0.65,standard,PUT,0.375
1550,2/21/2020,0.3,0.7,standard,PUT,0.5
1555,2/21/2020,0.15,0.7,standard,PUT,0.425
1560,2/21/2020,0.15,0.7,standard,PUT,0.425
1565,2/21/2020,0.15,0.7,standard,PUT,0.425
1570,2/21/2020,0.2,0.75,standard,PUT,0.475
1575,2/21/2020,0.35,0.75,standard,PUT,0.55
1580,2/21/2020,0.25,0.8,standard,PUT,0.525
1585,2/21/2020,0.25,0.8,standard,PUT,0.525
1590,2/21/2020,0.25,0.8,standard,PUT,0.525
1595,2/21/2020,0.25,0.8,standard,PUT,0.525
1600,2/21/2020,0.5,0.85,standard,PUT,0.675
1605,2/21/2020,0.3,0.85,standard,PUT,0.575
1610,2/21/2020,0.35,0.9,standard,PUT,0.625
1615,2/21/2020,0.35,0.9,standard,PUT,0.625
1620,2/21/2020,0.35,0.9,standard,PUT,0.625
1625,2/21/2020,0.4,0.95,standard,PUT,0.675
1630,2/21/2020,0.4,0.95,standard,PUT,0.675
1635,2/21/2020,0.45,1,standard,PUT,0.725
1640,2/21/2020,0.45,1,standard,PUT,0.725
1645,2/21/2020,0.5,1.05,standard,PUT,0.775
1650,2/21/2020,0.5,0.85,standard,PUT,0.675
1655,2/21/2020,0.55,1.1,standard,PUT,0.825
1660,2/21/2020,0.55,1.1,standard,PUT,0.825
1665,2/21/2020,0.6,1.15,standard,PUT,0.875
1670,2/21/2020,0.6,1.15,standard,PUT,0.875
1675,2/21/2020,0.65,1.2,standard,PUT,0.925
1680,2/21/2020,0.7,1.25,standard,PUT,0.975
1685,2/21/2020,0.75,1.3,standard,PUT,1.025
1690,2/21/2020,0.75,1.3,standard,PUT,1.025
1695,2/21/2020,0.8,1.35,standard,PUT,1.075
1700,2/21/2020,0.85,1.4,standard,PUT,1.125
1705,2/21/2020,0.85,1.4,standard,PUT,1.125
1710,2/21/2020,0.9,1.45,standard,PUT,1.175
1715,2/21/2020,0.95,1.5,standard,PUT,1.225
1720,2/21/2020,1,1.55,standard,PUT,1.275
1725,2/21/2020,1.05,1.6,standard,PUT,1.325
1730,2/21/2020,1.1,1.65,standard,PUT,1.375
1735,2/21/2020,1.15,1.7,standard,PUT,1.425
1740,2/21/2020,1.2,1.75,standard,PUT,1.475
1745,2/21/2020,1.25,1.85,standard,PUT,1.55
1750,2/21/2020,1.3,1.9,standard,PUT,1.6
1755,2/21/2020,1.4,1.95,standard,PUT,1.675
1760,2/21/2020,1.45,2.05,standard,PUT,1.75
1765,2/21/2020,1.5,2.15,standard,PUT,1.825
1770,2/21/2020,1.6,2.2,standard,PUT,1.9
1775,2/21/2020,1.65,2.35,standard,PUT,2
1780,2/21/2020,1.75,2.4,standard,PUT,2.075
1785,2/21/2020,1.85,2.5,standard,PUT,2.175
1790,2/21/2020,1.9,2.6,standard,PUT,2.25
1795,2/21/2020,2,2.75,standard,PUT,2.375
1800,2/21/2020,2.15,2.9,standard,PUT,2.525
1805,2/21/2020,2.25,3,standard,PUT,2.625
1810,2/21/2020,2.35,3.2,standard,PUT,2.775
1815,2/21/2020,2.5,3.4,standard,PUT,2.95
1820,2/21/2020,2.65,3.5,standard,PUT,3.075
1825,2/21/2020,3,3.6,standard,PUT,3.3
1830,2/21/2020,3,3.9,standard,PUT,3.45
1835,2/21/2020,3.2,4.1,standard,PUT,3.65
1840,2/21/2020,3.4,4.4,standard,PUT,3.9
1845,2/21/2020,3.6,4.6,standard,PUT,4.1
1850,2/21/2020,3.8,4.9,standard,PUT,4.35
1855,2/21/2020,4.1,5.2,standard,PUT,4.65
1860,2/21/2020,4.4,5.5,standard,PUT,4.95
1865,2/21/2020,4.7,5.8,standard,PUT,5.25
1870,2/21/2020,5,6.2,standard,PUT,5.6
1875,2/21/2020,5.4,6.6,standard,PUT,6
1880,2/21/2020,5.8,7,standard,PUT,6.4
1885,2/21/2020,6.2,7.5,standard,PUT,6.85
1890,2/21/2020,6.7,8,standard,PUT,7.35
1895,2/21/2020,7.2,8.6,standard,PUT,7.9
1900,2/21/2020,7.8,8.8,standard,PUT,8.3
1905,2/21/2020,8.5,9.5,standard,PUT,9
1910,2/21/2020,9.1,10.2,standard,PUT,9.65
1915,2/21/2020,9.9,11.3,standard,PUT,10.6
1920,2/21/2020,10.7,12.1,standard,PUT,11.4
1925,2/21/2020,11.6,12.6,standard,PUT,12.1
1930,2/21/2020,12.5,14,standard,PUT,13.25
1935,2/21/2020,13.6,14.7,standard,PUT,14.15
1940,2/21/2020,14.7,15.8,standard,PUT,15.25
1945,2/21/2020,15.9,17.2,standard,PUT,16.55
1950,2/21/2020,17.7,18.8,standard,PUT,18.25
1955,2/21/2020,19,20.5,standard,PUT,19.75
1960,2/21/2020,20.6,22,standard,PUT,21.3
1965,2/21/2020,22.3,24,standard,PUT,23.15
1970,2/21/2020,24.3,25.8,standard,PUT,25.05
1975,2/21/2020,26.5,28.1,standard,PUT,27.3
1980,2/21/2020,28.9,30.6,standard,PUT,29.75
1985,2/21/2020,31.4,33.2,standard,PUT,32.3
1990,2/21/2020,34.3,36.5,standard,PUT,35.4
1995,2/21/2020,37.4,39.7,standard,PUT,38.55
2000,2/21/2020,40.7,43.2,standard,PUT,41.95
2005,2/21/2020,44,47.7,standard,PUT,45.85
2010,2/21/2020,48,51.4,standard,PUT,49.7
2015,2/21/2020,52.2,56,standard,PUT,54.1
2020,2/21/2020,56.6,60.4,standard,PUT,58.5
2025,2/21/2020,61.2,65,standard,PUT,63.1
2030,2/21/2020,65.9,69.7,standard,PUT,67.8
2035,2/21/2020,70.7,74.4,standard,PUT,72.55
2040,2/21/2020,75.6,79.3,standard,PUT,77.45
2045,2/21/2020,80.5,84.1,standard,PUT,82.3
2050,2/21/2020,85.4,89,standard,PUT,87.2
2055,2/21/2020,90.4,94,standard,PUT,92.2
2060,2/21/2020,95.3,98.9,standard,PUT,97.1
2065,2/21/2020,100.3,103.9,standard,PUT,102.1
2070,2/21/2020,105.3,108.9,standard,PUT,107.1
2075,2/21/2020,110.3,113.8,standard,PUT,112.05
2080,2/21/2020,115.3,118.8,standard,PUT,117.05
2085,2/21/2020,120.3,123.8,standard,PUT,122.05
2090,2/21/2020,125.3,128.8,standard,PUT,127.05
2095,2/21/2020,130.3,133.8,standard,PUT,132.05
2100,2/21/2020,135.3,138.8,standard,PUT,137.05
2120,2/21/2020,155.3,158.8,standard,PUT,157.05
2125,2/21/2020,160.3,163.8,standard,PUT,162.05
2150,2/21/2020,185.2,188.8,standard,PUT,187
2175,2/21/2020,210.2,213.7,standard,PUT,211.95
2200,2/21/2020,235.2,238.7,standard,PUT,236.95
2225,2/21/2020,260.2,263.7,standard,PUT,261.95
2250,2/21/2020,285.2,288.7,standard,PUT,286.95
1225,2/28/2020,0,0.1,weekly,PUT,0.05
1250,2/28/2020,0,0.1,weekly,PUT,0.05
1275,2/28/2020,0.05,0.1,weekly,PUT,0.075
1300,2/28/2020,0,0.1,weekly,PUT,0.05
1325,2/28/2020,0.1,0.2,weekly,PUT,0.15
1350,2/28/2020,0.1,0.2,weekly,PUT,0.15
1375,2/28/2020,0.1,0.25,weekly,PUT,0.175
1400,2/28/2020,0.15,0.25,weekly,PUT,0.2
1425,2/28/2020,0.2,0.3,weekly,PUT,0.25
1450,2/28/2020,0.25,0.35,weekly,PUT,0.3
1475,2/28/2020,0.3,0.4,weekly,PUT,0.35
1500,2/28/2020,0.35,0.45,weekly,PUT,0.4
1510,2/28/2020,0.35,0.5,weekly,PUT,0.425
1520,2/28/2020,0.4,0.5,weekly,PUT,0.45
1525,2/28/2020,0.4,0.55,weekly,PUT,0.475
1530,2/28/2020,0.45,0.55,weekly,PUT,0.5
1540,2/28/2020,0.45,0.6,weekly,PUT,0.525
1550,2/28/2020,0.5,0.6,weekly,PUT,0.55
1555,2/28/2020,0.5,0.65,weekly,PUT,0.575
1560,2/28/2020,0.55,0.65,weekly,PUT,0.6
1565,2/28/2020,0.55,0.7,weekly,PUT,0.625
1570,2/28/2020,0.6,0.7,weekly,PUT,0.65
1575,2/28/2020,0.6,0.75,weekly,PUT,0.675
1580,2/28/2020,0.6,0.75,weekly,PUT,0.675
1585,2/28/2020,0.65,0.75,weekly,PUT,0.7
1590,2/28/2020,0.65,0.8,weekly,PUT,0.725
1595,2/28/2020,0.7,0.8,weekly,PUT,0.75
1600,2/28/2020,0.7,0.85,weekly,PUT,0.775
1605,2/28/2020,0.75,0.85,weekly,PUT,0.8
1610,2/28/2020,0.75,0.9,weekly,PUT,0.825
1615,2/28/2020,0.8,0.9,weekly,PUT,0.85
1620,2/28/2020,0.8,0.95,weekly,PUT,0.875
1625,2/28/2020,0.85,0.95,weekly,PUT,0.9
1630,2/28/2020,0.9,1,weekly,PUT,0.95
1635,2/28/2020,0.9,1.05,weekly,PUT,0.975
1640,2/28/2020,0.95,1.05,weekly,PUT,1
1645,2/28/2020,0.95,1.1,weekly,PUT,1.025
1650,2/28/2020,1,1.15,weekly,PUT,1.075
1655,2/28/2020,1.05,1.15,weekly,PUT,1.1
1660,2/28/2020,1.1,1.2,weekly,PUT,1.15
1665,2/28/2020,1.15,1.25,weekly,PUT,1.2
1670,2/28/2020,1.15,1.3,weekly,PUT,1.225
1675,2/28/2020,1.2,1.35,weekly,PUT,1.275
1680,2/28/2020,1.25,1.4,weekly,PUT,1.325
1685,2/28/2020,1.3,1.45,weekly,PUT,1.375
1690,2/28/2020,1.35,1.5,weekly,PUT,1.425
1695,2/28/2020,1.4,1.55,weekly,PUT,1.475
1700,2/28/2020,1.45,1.6,weekly,PUT,1.525
1705,2/28/2020,1.5,1.7,weekly,PUT,1.6
1710,2/28/2020,1.6,1.75,weekly,PUT,1.675
1715,2/28/2020,1.65,1.8,weekly,PUT,1.725
1720,2/28/2020,1.7,1.9,weekly,PUT,1.8
1725,2/28/2020,1.75,1.95,weekly,PUT,1.85
1730,2/28/2020,1.85,2,weekly,PUT,1.925
1735,2/28/2020,1.9,2.1,weekly,PUT,2
1740,2/28/2020,2,2.2,weekly,PUT,2.1
1745,2/28/2020,2.1,2.25,weekly,PUT,2.175
1750,2/28/2020,2.2,2.35,weekly,PUT,2.275
1755,2/28/2020,2.3,2.45,weekly,PUT,2.375
1760,2/28/2020,2.4,2.55,weekly,PUT,2.475
1765,2/28/2020,2.5,2.65,weekly,PUT,2.575
1770,2/28/2020,2.65,2.8,weekly,PUT,2.725
1775,2/28/2020,2.75,2.9,weekly,PUT,2.825
1780,2/28/2020,2.9,3.1,weekly,PUT,3
1785,2/28/2020,3,3.2,weekly,PUT,3.1
1790,2/28/2020,3.1,3.4,weekly,PUT,3.25
1795,2/28/2020,3.3,3.6,weekly,PUT,3.45
1800,2/28/2020,3.5,3.7,weekly,PUT,3.6
1805,2/28/2020,3.7,3.9,weekly,PUT,3.8
1810,2/28/2020,3.8,4.1,weekly,PUT,3.95
1815,2/28/2020,4.1,4.3,weekly,PUT,4.2
1820,2/28/2020,4.3,4.5,weekly,PUT,4.4
1825,2/28/2020,4.5,4.8,weekly,PUT,4.65
1830,2/28/2020,4.8,5,weekly,PUT,4.9
1835,2/28/2020,5,5.3,weekly,PUT,5.15
1840,2/28/2020,5.3,5.6,weekly,PUT,5.45
1845,2/28/2020,5.6,5.9,weekly,PUT,5.75
1850,2/28/2020,5.9,6.2,weekly,PUT,6.05
1855,2/28/2020,6.3,6.6,weekly,PUT,6.45
1860,2/28/2020,6.6,6.9,weekly,PUT,6.75
1865,2/28/2020,7,7.3,weekly,PUT,7.15
1870,2/28/2020,7.5,7.8,weekly,PUT,7.65
1875,2/28/2020,8,8.3,weekly,PUT,8.15
1880,2/28/2020,8.4,8.8,weekly,PUT,8.6
1885,2/28/2020,9,9.4,weekly,PUT,9.2
1890,2/28/2020,9.5,10,weekly,PUT,9.75
1895,2/28/2020,10.2,10.6,weekly,PUT,10.4
1900,2/28/2020,10.9,11.3,weekly,PUT,11.1
1905,2/28/2020,11.6,12,weekly,PUT,11.8
1910,2/28/2020,12.4,12.8,weekly,PUT,12.6
1915,2/28/2020,13.2,13.7,weekly,PUT,13.45
1920,2/28/2020,14.2,14.6,weekly,PUT,14.4
1925,2/28/2020,15.2,15.6,weekly,PUT,15.4
1930,2/28/2020,16.2,16.6,weekly,PUT,16.4
1935,2/28/2020,17.4,17.8,weekly,PUT,17.6
1940,2/28/2020,18.6,19,weekly,PUT,18.8
1945,2/28/2020,20,20.4,weekly,PUT,20.2
1950,2/28/2020,21.4,21.8,weekly,PUT,21.6
1955,2/28/2020,23,23.4,weekly,PUT,23.2
1960,2/28/2020,24.7,25.1,weekly,PUT,24.9
1965,2/28/2020,26.5,27.3,weekly,PUT,26.9
1970,2/28/2020,28.5,29.4,weekly,PUT,28.95
1975,2/28/2020,30.5,31.6,weekly,PUT,31.05
1980,2/28/2020,33,34,weekly,PUT,33.5
1985,2/28/2020,35.5,36.6,weekly,PUT,36.05
1990,2/28/2020,38.4,39.5,weekly,PUT,38.95
1995,2/28/2020,41.3,42.5,weekly,PUT,41.9
2000,2/28/2020,44.5,45.8,weekly,PUT,45.15
2005,2/28/2020,48.1,49.3,weekly,PUT,48.7
2010,2/28/2020,51.7,53,weekly,PUT,52.35
2015,2/28/2020,55.8,57,weekly,PUT,56.4
2020,2/28/2020,59.9,61.7,weekly,PUT,60.8
2025,2/28/2020,64.1,66.1,weekly,PUT,65.1
2030,2/28/2020,68.6,70.6,weekly,PUT,69.6
2035,2/28/2020,73.3,75.2,weekly,PUT,74.25
2040,2/28/2020,78,80,weekly,PUT,79
2045,2/28/2020,82,84.8,weekly,PUT,83.4
2050,2/28/2020,86.9,89.6,weekly,PUT,88.25
2060,2/28/2020,96.6,99.4,weekly,PUT,98
2070,2/28/2020,106.7,109.5,weekly,PUT,108.1
2075,2/28/2020,111.7,114.5,weekly,PUT,113.1
2100,2/28/2020,136.3,139.1,weekly,PUT,137.7
2125,2/28/2020,161.5,164.3,weekly,PUT,162.9
2150,2/28/2020,186.3,189,weekly,PUT,187.65
2175,2/28/2020,211.3,214,weekly,PUT,212.65
2200,2/28/2020,236.3,239,weekly,PUT,237.65
2225,2/28/2020,261.3,264,weekly,PUT,262.65
2250,2/28/2020,286.3,289,weekly,PUT,287.65
